email,nombre_usr,n_posts,n_mensajes,reportade
guachiwow@mailg.com.ar,Guachin96,2,17,NO
estrellita90@mailcaliente.com,LadyFire,1,8,SI
xsperez@ungesam.edu.ar,Florcitaa,1,19,NO
yerbabuena@mailg.com.ar,BuenaYerba,27,92,NO
robotito@iupi.com,ElMecha,0,15,SI
elpiola97@iupi.com,pinguinoferoz,5,23,NO
juegajuega@mailcaliente.com,Hola_Chau,5,54,NO
lxgomez@ungesam.edu.ar,ElSirenito,0,10,NO
zzrodriguez@ungesam.edu.ar,_XxX_,0,22,NO
mailfalso@mailg.com.ar,Guardian87,7,60,SI
superduper88@mailcaliente.com,La_Esfinge_Piola,15,33,NO
luchitaaa@panorama.com.ar,Osita_con_armadura,6,58,NO
aguantecharly96@mailcaliente.com,Roquero96,7,7,NO
